id,folder_name,album_slug,album_url,cover_thumbnail_filename,smugmug_image_id,parsed_make,parsed_model,parsed_body_style,parsed_color_raw,luxury_tier,is_vehicle,is_duplicate,missing_thumbnail,is_malformed,is_name_slug_mismatch,homepage_worthy,launch_featured,needs_review
11,Ford Mustang Convertible White w: Black Stripe:Black,Ford-Mustang-Convertible-White-w-Black-StripeBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Ford-Mustang-Convertible-White-w-Black-StripeBlack,DSC_4071-L.jpg,i-DVDQGrP,Ford,Mustang,Convertible,Black Stripe:Black,standard,true,false,false,false,false,false,false,false
12,Ford Mustang Convertible White w: Red Stripe:Black,Ford-Mustang-Convertible-White-w-Red-StripeBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Ford-Mustang-Convertible-White-w-Red-StripeBlack,DSC_3969-L.jpg,i-cJChXmC,Ford,Mustang,Convertible,Red Stripe:Black,standard,true,false,false,false,false,false,false,false
13,Land Rover Range Rover P530 White:Red,Land-Rover-Range-Rover-P530-WhiteRed,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Land-Rover-Range-Rover-P530-WhiteRed,DSC_1116-L.jpg,i-bcSWBLj,Land Rover,Range Rover,SUV,Red,premium,true,false,false,false,false,false,false,false
14,Chevrolet Corvette C8 Coupe Blue:Black,Chevrolet-Corvette-C8-Coupe-BlueBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Chevrolet-Corvette-C8-Coupe-BlueBlack,DSC_9700-L.jpg,i-WNDCxdD,Chevrolet,Corvette,Coupe,Black,standard,true,false,false,false,false,false,false,false
15,Lamborghini Huracan Spyder Balloon White:Red,Lamborghini-Huracan-Spyder-Balloon-WhiteRed,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-Spyder-Balloon-WhiteRed,DSC_3289-L.jpg,i-FHBwRJX,Lamborghini,Huracan,Convertible/Spyder,Red,ultra-luxury,true,false,false,false,false,true,true,false
16,BMW M4 Competition Convertible Black:Black,BMW-M4-Competition-Convertible-BlackBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/BMW-M4-Competition-Convertible-BlackBlack,DSC_6781-L.jpg,i-vpR9WPR,BMW,M4,Convertible,Black,premium,true,false,false,false,false,false,false,false
17,Bentley Bentayga W12 Speed Black:Black-Orange,Bentley-Bentayga-W12-Speed-BlackBlack-Orange,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Bentley-Bentayga-W12-Speed-BlackBlack-Orange,DSC_6680-L.jpg,i-4fSb4WW,Bentley,Bentayga,SUV,Black-Orange,ultra-luxury,true,false,false,false,false,true,true,false
18,Bentley Continental Convertible W12 Speed Black:Black-Orange,Bentley-Continental-Convertible-W12-Speed-BlackBlack-Orange,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Bentley-Continental-Convertible-W12-Speed-BlackBlack-Orange,DSC_6530-L.jpg,i-fq3s6sz,Bentley,Continental,Convertible,Black-Orange,ultra-luxury,true,false,false,false,false,true,true,false
19,Lamborghini Urus Red:Black,Lamborghini-Urus-RedBlack-1,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Urus-RedBlack-1,DSC_4677-L.jpg,i-g3ZdnQm,Lamborghini,Urus,SUV,Black,ultra-luxury,true,true,false,false,false,false,false,true
20,Bentley Bentayga White:Black,Bentley-Bentayga-WhiteBlack-1,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Bentley-Bentayga-WhiteBlack-1,DSC_6166-L.jpg,i-qB2ZLXM,Bentley,Bentayga,SUV,Black,ultra-luxury,true,true,false,false,false,false,false,true
